O6Sn4 {'Iter': [8], 'EtotRyd': [-50336.03418948], 'VolBohr3': [979.70556], 'EfermiRyd': [0.5242648329]}
Ir2O {'Iter': [9], 'EtotRyd': [-71582.64503224], 'VolBohr3': [272.25346], 'EfermiRyd': [0.8509899608]}
O3Sr {'Iter': [9], 'EtotRyd': [-6810.70824876], 'VolBohr3': [765.29758], 'EfermiRyd': [-0.26283692]}
NdO2 {'Iter': [22], 'EtotRyd': [-19561.43001058], 'VolBohr3': [307.27046], 'EfermiRyd': [0.4646455165]}
NbO {'Iter': [9], 'EtotRyd': [-7791.50040426], 'VolBohr3': [150.67081], 'EfermiRyd': [1.107836358], 'Warning_last': ':WARN : QTL-B value eq.   2.66 in Band of energy   0.36726  ATOM=    2  L=  1'}
O3Ta {'Iter': [10], 'EtotRyd': [-31704.0104041], 'VolBohr3': [417.18286], 'EfermiRyd': [0.1566923241]}
O2Pb {'Iter': [8], 'EtotRyd': [-42158.22367536], 'VolBohr3': [266.96955], 'EfermiRyd': [0.406576543]}
O2Po {'Iter': [9], 'EtotRyd': [-44796.56108161], 'VolBohr3': [281.11672], 'EfermiRyd': [0.5590990287]}
OTb {'Iter': [13], 'EtotRyd': [-23588.64171048], 'VolBohr3': [192.50331], 'EfermiRyd': [0.8146731081]}
AtO3 {'Iter': [9], 'EtotRyd': [-46306.33439342], 'VolBohr3': [476.1492], 'EfermiRyd': [0.1477660102]}
O3Rb {'Iter': [10], 'EtotRyd': [-6413.51907087], 'VolBohr3': [719.21452], 'EfermiRyd': [-0.2761019293]}
O10Te4 {'Iter': [10], 'EtotRyd': [-55878.67537891], 'VolBohr3': [1069.05335], 'EfermiRyd': [0.5215411317]}
NbO2 {'Iter': [8], 'EtotRyd': [-7942.19454986], 'VolBohr3': [210.38416], 'EfermiRyd': [0.8687029645]}
DyO2 {'Iter': [23], 'EtotRyd': [-24637.85640689], 'VolBohr3': [270.67093], 'EfermiRyd': [0.4147231402]}
InO {'Iter': [8], 'EtotRyd': [-11917.10317834], 'VolBohr3': [205.52382], 'EfermiRyd': [0.495010587]}
